Film,Year,Body_Count,MPAA_Rating,Genre,Director,Actors,Length_Minutes,IMDB_Rating
Ali G Indahouse,2002,11,R,Comedy,Mark Mylod,Sacha Baron Cohen|Emilio Rivera|Gina La Piana|Dana de Celis|Dominic Delesilva|Jacqueline Castro|Jesse Acosta|Mário Aguilar|Gary Baxley|Carlos Ayala|John Estrada|David Follosco|Gerald Gonzales|Manny Jimenez|Robert Jimenez|George Lopez|Manny Perez|Magdaleno Robles Jr.|Danny Romo|Jacob Salas|Carlos Sánchez|Emiliano Torres|Robert Zepeda|Ed the Dog|Barbara New|Martin Freeman|Tony Way|Nabil Elouahabi|Richard Syms|Ray Panthaki|Dean Batchelor|Adam Deacon|Roberto Viana|Imran Akhtar|Jaimie Boubezari|Charlie G. Hawkins|George Keane|Alex Peters|Billy Stewart|Jack Thompson|Stephen Bent|Anna Keaveney|Michael Gambon|Charles Dance|Eileen Essell|Kellie Bright|Janet Mitchell|Naomi Campbell|John Scott Martin|Jonathan Aris|Stewart Wright|Paul Clayton|Rhona Mitra|Frank Dunne|Diana Van Proosdy|Michael Cowan|Carolyn Pickles|Astley Scutcher|David Henry|Maggie Ellis|Joe Geary|Geoffrey Kirkness|John Warnaby|Andy Bell|Roger Brierley|Ivor Mazer|Elaine Mazer|Craig Crosbie|Jeffry Wickham|Graham McTavish|Maggie McCarthy|Lloyd McGuire|Edward Highmore|Martin Ball|Steffan Rhodri|Stephen Boswell|Jeanette Vane|John Humphrys|Jon Snow|Daphne Cheung|Peter Law|Rudolph Walker|John Adewole|Julian Sua|Colin Stinton|Olegar Fedoro|Stefan Kalipha|Bruce Jamieson|Mark Theodore|Marianne Levy|Martin Wimbush|Jasper Jacob|Richard Madeley|Judy Finnigan|Matt Green|James Allen|Carl McCrystal|Jamie Glassman|Matt Wilkinson|Adrian Hylton|Andrew Dunn|Ione Brown|Daniela Lavender|Judith Shekoni|Mario Aguilar Jr.|Caity Jayne|Ian Maden|Isabelle Pasco|Aruna Shields|Denise Worme,85,6.2
Alien,1979,9,R,Horror|Sci-Fi,Ridley Scott,Tom Skerritt|Sigourney Weaver|Veronica Cartwright|Harry Dean Stanton|John Hurt|Ian Holm|Yaphet Kotto|Bolaji Badejo|Helen Horton|Eddie Powell,117,8.5
AVPR: Aliens vs Predator - Requiem,2007,115,R,Action|Horror|Sci-Fi|Thriller,Colin Strause|Greg Strause,Steven Pasquale|Reiko Aylesworth|John Ortiz|Johnny Lewis|Ariel Gade|Kristen Hager|Sam Trammell|Robert Joy|David Paetkau|Tom Woodruff Jr.|Ian Whyte|Chelah Horsdal|Meshach Peters|Matt Ward|Michal Suchánek|David Hornsby|Chris William Martin|James Chutter|Phil Buhler|Kevin Haaland|Gina Holden|Kurt Max Runte|Liam James|Tim Henry|Tom McBeath|Ty Olsson|Anthony Harrison|Lloyd Berry|Rekha Sharma|Catherine Lough Haggquist|Victoria Bidewell|Dalias Blake|Timothy Paul Perez|Rainbow Francks|Juan Riedinger|Val Cole|Andrew Hedge|Ryan Robbins|Curtis Caravaggio|Françoise Yip|John Wardlow|Nesta Chapman|Ian Feuer|Bobby 'Slim' Jones|Glen Brkich|Jay-Lyn Green|Lili Wexu|Adrian Hough|Karen van Blankenstein,94,4.7
Alpha Dog,2006,3,R,Biography|Crime|Drama,Nick Cassavetes,Bruce Willis|Matthew Barry|Emile Hirsch|Fernando Vargas|Vincent Kartheiser|Justin Timberlake|Shawn Hatosy|Alex Solowitz|Alec Vigil|Harry Dean Stanton|Frank Cassavetes|Nicole Dubos|Regina Rice|Laura Nativo|Ben Foster|David Thornton|Anton Yelchin|Sharon Stone|Olivia Wilde|Heather Wahlquist|Jesse Erwin|Paul Johansson|Danny A. Abeckaser|James Molina|Nancy De Mayo|Xan Cassavetes|Chuck Pacheco|Frank Peluso|Shera Danese|Greg Williams|Joshua Alba|Shirley Kurata|Patrick Nguyen|Chris Kinkade|Dominique Swain|Chris Marquette|Alex Kingston|Amanda Seyfried|Charity Shea|Bobby Cooper|Stephanie A. Fowler|Natasha Elliott|Amber Heard|Janet Jones|Alan Thicke|Rick Salomon|Lukas Haas|Adrianna Belan|Holt McCallany|Heather Elizabeth Parkhurst|Mario Ardila Jr.|Matthew Borlenghi|Curt Clendenin|Angela Meryl|Emilio Roso|Sadie|Kristen Williams,122,6.9
Altered States,1980,5,,Drama|Fantasy|Horror|Sci-Fi|Thriller,Ken Russell,William Hurt|Blair Brown|Bob Balaban|Charles Haid|Thaao Penghlis|Miguel Godreau|Dori Brenner|Peter Brandon|Charles White-Eagle|Drew Barrymore|Megan Jeffers|Jack Murdock|Francis X. McCarthy|Deborah Baltzell|Evan Richards|Hap Lawrence|John Walter Davis|Cynthia Burr|Susan Bredhoff|John Larroquette|George Gaynes|Ora Rubinstein|Paul Larsson|Eric Forst|Adriana Shaw|Martin Fiscoe|Olivia Michelle,102,6.9
American Gangster,2007,15,R,Biography|Crime|Drama,Ridley Scott,Denzel Washington|Russell Crowe|Chiwetel Ejiofor|Josh Brolin|Lymari Nadal|Ted Levine|Roger Guenveur Smith|John Hawkes|RZA|Yul Vazquez|Malcolm Goodwin|Ruby Dee|Ruben Santiago-Hudson|Carla Gugino|Skyler Fortgang|John Ortiz|Cuba Gooding Jr.|Armand Assante|Kathleen Garrett|Joe Morton|Ritchie Coster|Bari K. Willerford|Idris Elba|Common|Warner Miller|Albert Jones|J. Kyle Manzay|T.I.|Melissia Hill|Quisha Saunders|Kevin Corrigan|Robert Funaro|Jon Polito|Tom O'Rourke|Robert C. Kirk|Tom Stearns|KaDee Strickland|Jon DeVries|Jim R. Coleman|Lee Shepard|Gavin Grazer|Linda Powell|Roxanne Amandez|Norman Reedus|Pierra Francesca|Eddie Rouse|Maryann Urbano|Cedric Sanders|Jason Veasey|Roosevelt Davis|Roger Bart|Eric Silver|Mitchell Green|Saycon Sengbloh|Conor Romero|Daniel Hilt|Daniel Farcher|David Spearman|Maurice Ballard|Paul Doherty|William C. Tate|George Lee Miles|Jason Furlani|Chris McKinney|Ric Young|David Wayne Britton|Tommy Guiffre|Laurence Lowry|Dan Moran|Marjorie Johnson|Larry Mitchell|Chuck Cooper|Kevin Geer|Chance Kelly|Hamilton Clancy|Sam Freed|Joey Klein|Scott Dillin|Anthony Hamilton|Sarah Hudnut|Jeff Greene|Tyson Hall|Kirt Harding|Bryant Pearson|Al Santos|Lil Chuuch|Christopher A. Sawyer|Dylan Gallagher|Jehan-Pierre 'The Preacher' Vassau|Dawn Douglas|Robbie Neigeborn|Clinton Lowe|Wilhelm Lewis|James Hunter|Neville White|Lonnie Gaetano|Jeff Mantel|Serena Joan Springle|Ron Piretti|Nino Del Buono|Arthur Mercante|Panama Redd|Robert Wiggins|Fab 5 Freddy|Jonah Denizard|Steve McAuliff|Fatima Robinson|Karen Adisson|Autavia Bailey|Candyce Barnes|Janelle Cambridge|Cicily Daniels|Andrea Edmead|Ortos J. Gutierrez|Celestine Rae|Luam Keflezgy|Monique Lea-Gall|Flavia Tamara Livolsi|Tamara Marrow|Shannon MacMillan|Jonathan Medero|Marielys Molina|Kesha Nichols|Nefertiti Robinson|Krista Saab|Luis Salgado|Carlos Sierra Lopez|Latonya Tolbert|Sandra Park|Yuri Kamino-Fennell|Brian Albanese|Jonathan Aldridge|Mauricio Alexander|Ephraim Benton|Myo Campbell|Ismael Peter Casillas III|Kal Cauthen|John Cenatiempo|Daniel R Cooper|J.W. Cortes|Cris D'Annunzio|Ernest Dancy|Michael Den Dekker|Mark DiConzo|Kevin Van Doorslaer|Monique Dupree|Sharlene Falls|Joseph Ferrante|Wanda Ferreiras|Eddie Goines|Anthony L. Gurino|Kelvin Hale|Johnathan Hallgrey|Jermel Howard|Hristo Hristov|Brevard Hudson|Joe James|Mark A. Keeton|Atif Lanier|Tina Lorraine|Shawn Luckey|Racheline Maltese|Nick Mastromarco|Frances Mignano|Robert Nicotra|Richard Nixon|Daniel Nugent|Jerrod Paige|Michelle Joan Papillion|Artie Pasquale|Tasha Perri|Kevin Pinassi|Nick Poltoranin|Bartolo Raffaele|Paula Rittie|Enrique Sebastian Rivas|Germir Robinson|Louis Rosario|Vincent James Russo|Aija Terauda|Karl Thwaites|Brigid Turner|Evelyn Vaccaro|Tacuma Vanterpool|Philippe Vonlanthen|Julian Walker|Adrian Washington|Craig Weintraub|Clarence Williams III|Ray Wineteer,157,7.8
American Ninja,1985,114,,Action|Adventure|Romance|Sport,Sam Firstenberg,Michael Dudikoff|Steve James|Judie Aronson|Guich Koock|John Fujioka|Don Stewart|John LaMotta|Tadashi Yamashita|Phillip Brock|Tony Carreon|Roi Vinzon|Manolet Escudero|Greg Rocero|Berto Spoor|Michael Hackbart|Jerry Bailey|Rohy Batliwala|Jim Gaines|Steve Cook|Brian Robilliard|Zenon Gil|Willie Williams|Christian Hoss|Joey Galvez|Nick Nicholson|Eric Hahn|Richard Norton|Henry Strzalkowski,95,5.2
American Pop,1981,61,,Animation|Drama|Music,Ralph Bakshi,Ron Thompson|Mews Small|Jerry Holland|Lisa Jane Persky|Jeffrey Lippa|Roz Kelly|Frank DeKova|Richard Singer|Elsa Raven|Ben Frommer|Amy Levitt|Leonard Stone|Eric Taslitz|Gene Borkan|Richard Moll|Beatrice Colen|Vincent Schiavelli|Hilary Beane|Lynda Wiesmeier|Phillip Simms|Marcello Krakoff|Ken Johnson|Barney Pell|Robert Strom|Gene Woodbury|Mark Levine|Ty Grimes|Peter Glindeman|Auburn Burrell|A'leisha Brevard|Elya Baskin|M.B. West|Joey Camen|Umberto Autore Jr.|Tony Autore|Johnny Brogna|Dawn Agrella|Cari Anne Warder|Don Carlson|Vance Colvig|Robert Beecher|Tony Fasce|Frank Ciaravino|Gene Krischer|D.A. Young|Lee Ving|Spit Stix|Derf Scratch|Philo Cramer|Chester Hayes|Chuck Mitchell|Ralph Bakshi|David Hollander|Doug Lee|Helen Morgan|Fredd Wayne,96,7.1
American Psycho,2000,18,R,Crime|Drama,Mary Harron,Christian Bale|Justin Theroux|Josh Lucas|Bill Sage|Chloë Sevigny|Reese Witherspoon|Samantha Mathis|Matt Ross|Jared Leto|Willem Dafoe|Cara Seymour|Guinevere Turner|Stephen Bogaert|Monika Meier|Reg E. Cathey|Blair Williams|Marie Dame|Kelley Harron|Patricia Gage|Krista Sutton|Landy Cannon|Park Bench|Catherine Black|Margaret Ma|Peter Tufford Kennedy|Mark Pawson|Jessica Lau|Lilette Wiens|Glen Marc Silot|Charlotte Hunter|Kiki Buttignol|Joyce R. Korbin|Reuben Thompson|Bryan Renfro|Ross Gibby|Christina McKay|Alan McCullough|Anthony Lemke|Connie Chen|Marilyn Burns|Gunnar Hansen|Leanne Poirier Greenfield|Ronald Reagan|Somaya Reece|Kate Steen,102,7.6
American Yakuza,1993,53,,Action|Crime|Drama|Thriller,Frank A. Cappello,Viggo Mortensen|Ryo Ishibashi|Michael Nouri|Franklyn Ajaye|Yuji Okumoto|Anzu Lawson|Robert Forster|John Fujioka|Nicky Katt|James Taenaka|Saiko Isshiki|Fritz Mashimo|Jeff Bankert|Rosine 'Ace' Hatem|John Hammil|Michael Westfall|Nathan Jung|Chris Hubbell|Joey Ciccone|Toni Naples|Elizabeth Lamont|Scott Roberts,96,5.7
Another Day in Paradise,1998,9,R,Crime|Drama|Thriller,Larry Clark,James Woods|Melanie Griffith|Vincent Kartheiser|Natasha Gregson Wagner|James Otis|Branden Williams|Brent Briscoe|Peter Sarsgaard|Paul Hipp|Kim Flowers|John Gatins|Ryan Donahue|Christopher Doyle|Dick Hancock|Pamela Gordon|Jay Leggett|Michael Jeffrey Woods|Karen Sheperd|Mitchell Orr|Leo Fitzpatrick|Simon Williams|Steve Connell|Clarence Carter|Roosevelt Bitten|Greg Dalton|Donald Hayes|Ishma Israel|Maurice James|Eddie Lott|Will Miller|Darryl Richards|Lou Diamond Phillips,101,6.5
Apocalypse Now,1979,62,R,Drama|War,Francis Ford Coppola,Marlon Brando|Martin Sheen|Robert Duvall|Frederic Forrest|Sam Bottoms|Laurence Fishburne|Albert Hall|Harrison Ford|Dennis Hopper|G.D. Spradlin|Jerry Ziesmer|Scott Glenn|Bo Byers|James Keane|Kerry Rossall|Ron McQueen|Tom Mason|Cynthia Wood|Colleen Camp|Linda Carpenter|Jack Thibeau|Glenn Walken|George Cantero|Damien Leake|Herb Rice|William Upton|Larry Carney|Marc Coppola|Daniel Kiewit|Father Elias|Bill Graham|Hattie James|Jerry Ross|Dick White|Christian Marquand|Aurore Clément|Michel Pitton|Frank Villard|David Olivier|Chrystel Le Pelletier|Robert Julian|Yvon LeSeaux|Roman Coppola|Gian-Carlo Coppola|Henri Sadardeil|Gilbert Renkens|Don Gordon Bell|Francis Ford Coppola|R. Lee Ermey|Jim Gaines|Evan A. Lottman|Nick Nicholson|Linn Phillips III|Pierre Segui|Charlie Sheen|Vittorio Storaro|Henry Strzalkowski|Lonnie 'Lono' Woodley,153,8.5
Apocalypto,2006,114,R,Action|Adventure|Drama|Thriller,Mel Gibson,Rudy Youngblood|Dalia Hernández|Jonathan Brewer|Morris Birdyellowhead|Carlos Emilio Báez|Amilcar Ramírez|Israel Contreras|Israel Ríos|María Isabel Díaz|Espiridion Acosta Cache|Mayra Serbulo|Iazua Larios|Lorena Heranandez|Itandehui Gutierrez|Sayuri Gutierrez|Hiram Soto|José Suárez|Raoul Trujillo|Gerardo Taracena|Rodolfo Palacios|Ariel Galvan|Bernardo Ruiz|Ricardo Diaz Mendoza|Richard Can|Carlos Ramos|Ammel Rodrigo Mendoza|Marco Antonio Argueta|Javier Escobar|Fernando Hernandez|Maria Isidra Hoil|Aquetzali García|Abel Woolrich|Antonio Monroi|Nicolás Jasso|Ronaldo Eknal|Miriam Tun|Rafael Velez|Diana Botello|Joaquin Rendon,139,7.8
